id;text;result
86;fehlende parkplätze! teure Krankenkassen Schulbildung ist gesunken Sicherheit auf den Strassen An der Arbeitsstelle Personalmangel, aufgrund des neuen Tagesbetreuungsgesetzes Hohe Steuern! Shopping lässt zu wünschen übrig, weil jeder 2. Laden schliesst und es keine anregende Geschäfte giebt. Das Nachtleben ist eine katasrophe! Es gibt 2-3 Bars, welche immer überfüllt sind! Für uns Junge Menschen bietet die Stadt nicht viel. Müssen immer auserorts gehen und dies kostet auch Geld. Die Gebäude und Infrastrukturen, können gerne dem Jahr 2023 entsprechen.;[3, 4, 8, 14, 26, 27, 28, 29, 30]
87;Teurer Wohnraum, von Ausnahmen abgesehen.;[3]
88;Zu viel Verkehr, zu wenig Kinderbetreuungsangebote;[5, 28]
91;Kriminalität, kein videouberwachung, wenig kehrichtabführ, sehr hoch mieten, parkplätze, nur pharma jobs;[3, 7, 15, 23, 24]
93;Two of our bikes stolen, I can see many strange people (making noise and drinking) these days and little bit afraid during those times.;[23, 45]
94;Sommerhitze auf grossen Plätzen;[16]
95;Wichtig ist, dass die Neugestaltung vom Klybeck-Quartier nicht nur die Investoren befriedigt, sondern eine gute soziale Durchmischung stattfindet und es auf Orte für Kultur und (selbstverwaltete) Freiflächen gibt.;[14, 20, 22, 27]
96;Fachkräftemangel in vielen Branchen. Wohnungsknappheit auf der einen und ein zu strenges und somit verhinderndes Wohnschutzgesetz auf der anderen Seite.;[3, 8]
98;Polizeibeamten sind manchmal ängstlich und zögern Konfrontation und Konflikte, vor allem am Bahnhof SBB und gefährliche Quartiere.;[23, 38]
99;Baustellen;[36]
100;Fast moving cars near local school, which never seems to be checked or monitored and cars reversing/parking near school, when there are lots of young children around, i.e. particularly in the mornings.;[17, 23]
102;Keine Parkplätze, überall künstliche Verkehrsbehinderungen welche die Sicherheit gtefärden. Unnötig Tempo 30. Gefährliche Velostrassen.;[5, 7]
103;Verkehr --> Autoverkehr staut, Velo ist teilweise gefährlich, S-Bahn Angebot kaum existent;[5, 6]
106;Für mich sind die größten Probleme in Basel 1) Gutverdiener reisen nach Frankreich und Deutschland und die Stadt nicht zu unterstützen, die ihre hohen Gehälter zahlt 2) Als Frau fühle ich mich im letzten Jahr weniger sicher aufgrund der Angriffe auf Menschen in der Stadt sowohl Tag als auch Nacht 3) die mangelnde Transparenz der Gesundheitskosten 4) die Isolation von Behinderten oder älteren Menschen mit eingeschränkter Mobilität;[1, 23, 31, 29]
107;Zu viele Baustellen überall.;[36]
108;Mietwohnung finden hohe Mietpreise hohe Krankenkassenprämien hohe Steuern;[2, 3, 4]
109;Subjektiv vermehrte Wahrnehmung von Gewaltdelikten. Verunreinigung des öffentlichen Raumes.;[23, 24, 37]
110;viele, viele Baustellen;[36]
111;Zu viele noch immer nicht abgeschlossene Baustellen. Dauer von zum Teil mehr als 2 Jahren. Z.B. Viertel-Kreis  Kaum Parkplätze;[37, 7]
113;Bau Arbeit, Sauberkeit;[8, 15]
114;Hohe Steuern, hohe Krankenkassenbeiträge, hohe Motorfahrzzeugsteuern, wenig Parkplätze, schlechte Verkehrspolitik;[1, 4, 5, 7]
115;Man fühlt sich ab und zu um einer späten Uhrzeit unsicher.;[23]
118;Kriminalität im Kleinbasel Künstliche Verkehrsverlangsamung/-behinderung(u.a. extra lange andauernde rote Ampeln, Tramgleisumbau, die den Verkehr stören).;[5, 23]
119;Weis nicht;[99]
120;Die gesellschaftliche, generelle Unzufriedenheit- Glas halbleer Mentalität - die wachsende Scherenspannweite zwischen sehr reich und working poor  Unnötige Steuererleichterungen für Reiche,  die eh nicht wegen der Steuern,  sondern wegen der hiesigenLebensqualität und Sicherheit hier bleiben !;[9, 19, 32]
121;Überfälle;[23]
123;Unsauberkeit, Kriminalität, Bettlerei;[15, 23, 48]
124;Zuwenig Parkplätze. Allgemein d Verkehrssituation, Chaos Luzernerring, von zwei auf eine Spur...?? Zuwenig zahlbare Wohnungen;[5, 7, 3]
125;Vergraulung der Autofahrer die sich nicht vom eAuto einlullen lassen Sicherheit im öffentlichen Raum zuviele Demonstrationen Zuwanderung & Ausländeranteil;[5, 23, 20]
127;Grenzgänger gefährden die Verkehrsicherheit + die Sicherheit generell, Lautstärke der Kirchen;[5, 17]
128;Die Ganze Strassenbau. Es hört nie auf.. nie....;[36]
131;Wohnungsangebot, Arbeitsangebot;[3, 9]
133;Parkplätze und hohe Miete;[3, 7]
134;Parkplatzsituation, Parkplätze werden mehr und mehr gekürzt was zur Folge hat dass Parkplatz suchende Autofahrer Kreise um Kreise im Quatier ziehen was zu mehr Abgasen führt und vielen Falschparkern führt. Für uns ist es sehr schwierig Besuch von Außerhalb zu bekommen, da es fast garkeine Parkplätze gibt.  Krankenkassen Prämien und Steuern viel höher als in benachbarten Kantonen.  Schwierig schöne, bezahlbare Wohnungen zu finden.;[3, 7, 14]
136;Abhängigkeit von Pharma und Messe;[11, 14]
137;Erhaltung der Lebensqualität (Luft, Lärm) Kriminalität der letzten Zeit;[16, 17, 23]
140;Littering,;[15]
142;steuerbelastung und krankassenpraemie;[1, 4]
143;Die Verkehrspolitik und die massive Verschlechterung der Parkplatzsituation in den Quartieren;[5, 7]
145;Günstiger Wohnraum und die Verkehrsproblematik;[3, 5]
146;Das nicht klar ist woher die Bettler kommen und warum sie da sind.;[48]
147;Verkehr. Veloweg durch die Stadt. Die aufheulenden Motoren der „Autotuner“ (meistens aus BL) am Wochenende.;[5, 17]
149;Strassenlärm, Alltagslärm (2x Hort, 1x Grundschule, 1x Gartenwirtschaft in unserem Innenhof), viel zu viele Autos auf den Strassen (ganz egal ob E- oder Verbrenner) es sind viel zu viele.;[17, 23, 33]
150;Das größte Problem für mich besteht die schriftlichen Sachen des Kantons zu verstehen zB Abstimmungen. Ich finde es schlimm das man zuerst einen Hochschulabschluss haben muss das man draus kommt was die Staatsmacht von einem will!!!;[30]
151;Die beengten Landverhältnisse, die Krankenkassenkosten, die Verkehrssituation infolge von einer gefühlten Million Baustellen.;[3, 4, 5, 36]
153;Zu wenig progressiv in Bezug auf Netto-Null. Mehr Grünflächen, weniger Platz für Autos.;[15, 17, 21, 27]
156;Baustellen, Fehlende Parkplätze, Hohe Steuern;[7, 16, 1]
158;Steuersatz zu hoch im vergleich auf andere Kantone;[1]
159;Verkehrssicherheit Velo Zu viele Baustellen Zu viel Verkehr;[5, 36]
162;Viel zu wenig Parkplätze, wenige Bars, welche mit dem Auto erreichbar sind;[7, 10]
163;Der Stau zu Stosszeiten. Der für mich unplanbare Zugang zur fernwärme in der Strasse;[5, 36]
165;Als frau finde ich die stadt zunehmend gefährlicher, ich fühle mich breits am frühen abend nicht mehr sicher im matthäusquartier! Und am morgen stehen schon die dealer an jeder ecke;[23, 45]
168;Hi cost of propperties (rental and buy) Propperty (bike) theft;[3, 5]
169;Mangelnde Sauberkeit der Strassen, Verkehrssicherheit, Gefahr auf den Strassen und Trottoir.;[15, 5]
170;zu viele Baustellen, viele gefährliche Verkehrssitzatuonen vor allem zwischen ÖV und anderen Verkehrsteilnehmern, Innenstadt Gewerbe stirbt aus;[6, 8, 16, 27]
173;Kriminalität Sicherheit für Velos;[5, 23]
174;Günstiger Wohnraum;[3]
176;Sicherheit, zuviele Autos, Sauberkeit, Sozialwesen;[15, 17, 23, 97]
177;Lärm , Höhe Preise;[17, 2]
178;Der relativ sehr grosse Staatsapparat.;[30]
179;Die Kriminalität;[23]
183;ÖV netz;[6]
184;Überbevölkerung.  Schmutz, Littering im Kleinbasel.  Gefühl nicht sicher zu sein als Frau im Dunkeln.;[15, 23]
185;- grüne/linke Politik;[30]
186;Baustellen, viele Flüchtlinge,  wenig Parkplätze, Littering;[16, 20, 37, 15]
187;Bevölkerungsdurchmischung. Gettobildung, Politische Ausgewogenheit, Baustellenmenge, unsinnige Sanierungen von Strassen und Plätzen, Auto-Hass, deutlich übertriebene Regelwut und Einschränkungswut durch Politik, zu viele Philosophische und idealistischen Ideen und Verhalten, mehr gesunden Menschenverstand in der Politik, hohe Sozialhilfequote, zu grosser Anteil der Bevölkerung die keine Steuern zahlt, zu wenig Innovation durch den Staat, zuviele Prestige Projekte die der Bevölkerung wenig bringen;[2, 23, 30, 33, 34, 37, 47, 98]
188;Unsicherheit -prugglung auf die Strasse-Roma;[20, 23]
190;Sehr viel Strassenarbeiten,  Autounfründlich wenig wohnraum 4051 Kein Parkplatz 4051;[3, 5, 7]
196;Der Bau des Rheintunnels wird für das Quartier eine Verschlechterung der Lebensqualität bedeuten.;[5, 15]
197;Wenig Möglichkeiten zum reciclen. Kein Grünabfall oder Kompost. Karton nur einmal im Monat.  Wenig Kita Plätze. Sehr hohe Mieten.;[1, 10, 15, 28, 30]
198;Müllabfuhr vor den Häuser sichtbar (früh raus gestellt) Zu wenig Bäume als Schattenspender im sommer;[15, 21]
199;Sehr hohe Mietkosten, wenig qualitativ gute Wohnungen;[3, 10]
200;Drogenumschlagplatz Claraplatz und Rotlichtviertel Dass sich der Kanton-Basel Stadt immer noch ein Rotlicht-Millieu leistet, welches Menschhandel, Zwangsprostitution und Minderjährige auf der Strasse bietet, ist bedenklich und nicht mehr zeitgemäss. Es ist selbst als Mann gefährlich nach Eindunkeln über den Claraplatz, die Kaserne oder am Rheinboard entlang zugehen. Die Gefahr von den Drogendealer angepöpelt zu werden ist riesig.  Zudem verlottert die Innenstadt. Basel ist schmudelig, dreckig, charmbefreit und erinnert an die DDR. Es ist ein Trauerspiel. Baustellen, hässliche Gebäude, leerstehnde Häuser…eine Stadt ohne Stil und Charme….trostlos und hässlich…selbst das Enkaufserlebnis in Lörrach ist chicker und schöner…ein Armutszeugnis…;[23, 24, 27, 35, 36, 45, 48]
201;Sichere, umweltfreundliche Energieversorgung. Zusammenhalt zwischen den Generationen.;[4, 18]
202;Litttttttttttering in Kleinbasel: es ist mir einfach nicht verständlich, dass die Menschen das nicht begreiffen. Ich war einige Male in Japan: kein Mensch kommt auf die Idee, einen einzigen Zigarettenstummel auf die Strasse zu werfen, die Leute haben einfach seit der Kindheit ein anderes Bewusstsein: Sie nehmen Rücksicht aufeinander. Mittlerweile sind wir ja ein wenig mit Roland Oberli von der Stadtreinigung befreundet und wir wissen, dass sein Team und alle Teams grossartige Arbeit leisten. Danke! ABER: Das Volk muss noch nachhaltiger und deutlich aufgeklärt und erzogen werden. Etc. Ist natürlich ein komplexes Thema. Ev. schlcihtweg mehr und grössere Papierkörbe. Was noch: In der Stadt UNBEDINGT TEMPO 30. FELDBERGSTRASSE  zu überqueren ist für KINDER trotz grosser Rücksicht der meisten Verkehrsteilnehmer SEHR GEFÄHRLICH, ein Fehler ist schon einer zuviel. Es wir kommen, bitte so schnell wie möglich.  Was noch: Parken auf der blauen Zone sollte an und für sich nur für Anwohner sein: zu viele LÖ, und Franzosen etc. = ist für Anwohner mit einer Parkkarte für fast dreihunder Franken ein Schmarren. Ich denke, Sie wissen wovon ich spreche. NOCH WAS: Sämtliche Martinshörner von Polizei, Feuerwehr und Krankenauto sind VIEL ZU LAUT. Mich würde eine Dezibelmessung und Studie interessieren. Man schicke gerne einmal eine Delegation nach New York City: alles geht viel leiser vor sich und es sind einfach cleverere Sirenen: man hört sie nur so in Intervallen und man hört sie gut. Also: BITTE. Dieser Lärm ist absolut über dem Grenzwertigen und steht in keinem Verhältnis. DANKE, ich bin gespannt. Die HELIKOPTER vom Spital sind auch grundsätzlich viel zu laut. Der Dezibel-Hit, nebst den Martinshörnern, siehe oben. Das ist steinzeitlich. Ich hoffe, dass wir bald elektrische Surris erleben oder sonst eine Alternative. DROHNEN. VIELES IST BALD MÖGLICH.;[15, 17]
204;Lärm;[17]
205;Die vielen Bettler und Asylanten. Ebenso sehr viele Obdachlose und Junkies welche die Stadt sehr unsicher machen. Die Kriminalität ist gestiegen, welches mir als Frau abends sehr angst macht. Die Sauberkeit der Stadt ist nimmt immer mehr ab.;[23, 45, 47, 97, 99]
206;noch zu viel Autoverkehr. Velo/ÖV sollte mehr Platz kriegen / gefördert werden;[5, 6]
207;Baustellen und Demo-Wahnsinn,  Zu wenig Kitas um alles Kindern wirklich eine Perspektive zu geben die sie von ihren Eltern her nicht haben, schlechte Schulen.;[36, 28, 25]
209;Klumpenrisiko Pharmazieindustrie;[11]
213;Es ist im öffentlichen Raum schmudliger als auch schon (ein Zeichen der Zeit). Es wird überall räumlich enger (mehr Menschen). Immer mehr Hochhäuser.;[15, 16, 19, 21, 23, 24, 34, 36, 37, 38, 42, 44]
217;Parkplätze werden immer wie weniger. Lärmpegel ist hoch.;[7, 17]
218;Krankenkasse sehr teur;[4]
219;Littering - dreckige Parks, Strassenzüge, Rheinufer, Zigarettenabfälle Öffentliche Drogenumschlagplätze Einbruchquote Heterogenität der Bevölkerung extrem, hoher Migrationsanteil in gewissen Schulen  Rasches Bevölkerungswachstum- Infrastruktur hält damit nicht Schritt;[15, 23, 33]
220;Steuer viel zu Hoch und Attraktivitaet / Laeden / Basel by Night… wirklich nicht gut;[1, 44]
221;I honestly have nothing to complain.;[97]
226;Baustellen, die steigenden Preise für alles (Miten, Lebensunterhaltskösten);[36, 2]
228;Baustellen;[36]
229;PARKPLATZ!!!!!!!!!;[7]
232;Zu viel Autolärm Zu viel Platz für Autos Zu wenig Verkehrssicherheit Zu hohe Mieten;[5, 7, 16, 3]
233;Drohende Rückschritte bei der integrativen Schule;[22]
235;Das weiss ich nicht.;[-99]
237;Bettler, Drogenhandel/Drogensüchtige.;[48]
238;Die ewigen Baustellen, die alle zeitgleich auftauchen.;[36]
239;Heizung für Wohnungen: unser Quartier (Bachofenstrasse / Brunnmattstrasse) wird von der IWB nicht ans Fernwärmenetz angeschlossen. Es droht eine zunehmende Lärmbelastung durch individuelle Luft-Wärmepumpen.;[3, 17]
240;Kriminalität, insbesondere Diebstähle in unserem Quartier Grosse Unterschiede in der Qualität der Schulen von Quartier zu Quartier Zu wenig Durchmischung in einzelnen Quartieren - grosse Mehrheit einer Nationalität anstelle einer ausgewogenen Mischung der Nationalitäten, dadurch Subkulturen;[23, 25, 20]
241;Zunehmende Kriminalität/ Sexuelle Übergriffe;[23]
242;BETTLER;[48]
245;Es gibt nur wenige Stellenangebote und in den letzten Jahren hat es viele Diebstähle gegeben .Weil ich an der französischen Grenze wohne und jedes Mal jemand gestohlen wird, besonders Fahrräder .;[8, 23, 46, 45]
246;Vielleicht im kkeinbasel verschmutzte gehwege, aber da kann die stadtreinigung nichts dafür, das sind die Mitmenschen;[15]
247;Objektive Betrachtung: Klüngelei auf politischer Ebene mit zu viel Einfluss auf Privatwirtschaft, Abgöngigkeit von grossen Playern wie Roche und Co., für Eigentümer teilweise untragbare Vorgaben, um Energieziele zu erreichen, Unattraktivität systemrelevanter Berufe;[11, 12, 30]
248;- Linksextremes Stimmverhalten der Bevölkerung - 50% der volljährigen Bevölkerung zahlen keinen Rappen Steuern - Kriminalität (seit Jahren mit Abstand die kriminellste Stadt der Schweiz;[1, 3, 23]
250;Zu hohe Bevölkerungszahl,  davon sehr viele unachtsame Menschen. Viel Zuwenig Fläche für Wildtiere und Bienen. Chemische Fabriken in und um Basel verpesten die Luft. Sehr viel Strassenverkehr.  Bevölkerung wird nicht über Verhaltensregeln informiert z.B. Lärm in und um Wohnung und Haus. Zu wenige Postfilialen, eine einzige Post in Riehen.  Das Abreissen von Einfamilienhäusern und errichten von Mehrfamilienhäuser.;[2, 16, 18, 20, 23, 27, 31, 34, 36, 45]
251;Mangel an Kita-Plätzen, Fehlender Ausbau Velowege, grosse Autos (SuV, sollte man reduzieren)-kleine Strassen;[28, 5, 98]
253;Kriminalität;[23]
254;Lärm. Bitte Flächendeckend Tempo 30 einführen. In den Quartieren 20 mit entsprechenden Kontrollen.;[17]
255;Rot Grün mit immer weniger Parkplatzangebot im alten Quartier. Zum Arbeiten bin ich aufs Fz angewiesen, zahle gut Steuern und suche 20 Minuten einen freien Parkplatz, was sicher umweltschädlicher ist als ein passendes Angebot;[7, 10, 16]
256;Littering, Kleinkriminalität, politische Polarisierung, Privatverkehr;[15, 23, 30, 5]
257;Steuerliche Belastung in Kanton BS zu hoch.;[1]
260;Bezahlbare Wohnungen,;[3]
262;Ausländeranteil Verkehrsharmonisierung Auto vs. Langsamverkehr;[5, 20]
265;Das grösste Problem sind die Parkplätze ich fahre 30 Minuten um ein Parkplatz zu finden in diesen 30 Minuten stosse ich CO2 aus der nicht nötig wäre.;[7, 16]
266;Kriminalität (und deren gefühlte Tatenlosigkeit seitens JSD), Steuerbelastung für uns im oberen Mittelstand (der Kanton nimmt seit Jahren mehr als er benötigt und das ist raub am Volk!), Schulsystem (alleine der Ruf eine Schule in BS besucht zu haben kann enorme Nachteile auf dem Arbeitsmarkt mit sich bringen!), und die Stadtbildkommission gehört abgeschafft. Zuletzt noch die zu hohe Anzahl an nicht integrierter Familien.;[23, 1, 25, 30, 20]
269;Parkplatzabbau, Autofeindlichkeit, Velofahrerei auf Trottoir, Nichtbefolgen von Abstimmungsresultaten, viel zuviel Staatsbedienstete;[5, 7, 30]
270;Die Steuern sind viel zu hoch. Korruption im Stadtrat.;[1, 30]
271;Das Demonstrationsrecht ist zum Samstagnachmittagritual verkommen. Die vielen Sprayereien stören mich - vor allem, weil ganz bewusst nichts dagegen unternommen wird. Oft schaut die Polizei geduldig zu.;[17, 23]
272;Wohnungssituation, zunehmende Ausländer Kriminalität;[3, 20, 23]
273;Hoher Ausländeranteil Mittelstand wird immer mehr zur Kasse gebeten Sicherheit,Kriminalität wird schön geredet;[20, 23]
274;Günstige Wohnungangebot (für Studenten);[3]
275;Drogenkriminalität, Personalmangel in sozialen/medizinischen Einrichtungen;[23, 98]
276;Zu hohe Einkommensteuern, im Vergleich mit fast allen anderen Kantonen.;[1]
277;Wegfall der Dreirosenanlage Drogendealer am Kleinbasler Ufer Bettler vor den Kirchen;[23, 48]
278;Da ich erst seit 8 Jahren im Kanton wohne kann ich es zuwenig beurteilen. Ich vermute: Verkehr. Aber da ich kein Auto besitze, betrifft mich das nicht. ÖV ist super.  Im Verhältnis zu meiner Rente sind Miete und Gesundheitskosten hoch.;[2, 6, 3, 4]
279;weiss nicht;[-99]
