text_id;text;result
134;"Die schöne Alt-Stadt, viel ""Grünland"", Clubs, Cafes, Läden-> in Basel hat es alles was man braucht";[4, 5, 6, 12, 17, 20]
136;Viele Parks, schöne, kleine, angenehme Stadt;[5, 12]
137;Ausgang  Freunde  Schule;[11]
138;Wir haben den Rhein;[1]
139;Ich liebe diese Stadt, weil es dort toll ist. Und weil seid der Geburt dort lebe, kenne viele Leute, macht viel Spass.;[6, 7, 17]
140;Der Rhein  Claraplatz, St.Jackop  Kursen;[1]
141;Die vielen Kleiderlädern.  Die gute Stimmung.  Die vielen Restaurants.;[4, 6]
142;Das mir einen direkten BVB und BLT verker haben;[3]
143;Das der St. Johann Park in der nähe bei mir zu Hause ist.  Das es drei Basketballkorbe in der nähe ist.  Das es jeden Tag nicht laute Nachbarn hat.;[5, 7, 18]
144;Die vielen Kleider und Wahren Läden  die vielen Restaurants und Caffées  Die gute Stimung;[4, 7]
145;Die Leute sind freundlich, es hat nicht überall so viel Verkehr, die kleineren Kinder sind mehr geschützt.;[6, 12]
147;Alles;[8]
148;Alles;[8]
149;Man lernt viele Leute kennen und es hat viel Spielmöglichkeiten;[6, 7]
150;Der FCB mit ihm das Stadion und die Fans in der Kurve  die Luft ist gut!  man hat viele Ferien!;[7, 12, 15]
151;Eigentlich alles;[8]
152;Das es viele Bäder gibt.  Das es viele Orte gibt für Jugendliche (z.B Jugendzentrum);[7, 13]
153;Die Stadt Basel in der Altstadt gefällt mir sehr  Der Rhein;[1, 12, 15]
154;Es giebt viele Warengeschäfte  Die Stadt ist schön  und natürlich FCB;[4, 12]
155;Es ist sicher  tolle Läden  tolle Tramfunktion auf die man sich verlassen kann;[3, 4, 8]
156;Es ist eine Mischung zwischen Natur und Stadt. Man hat beides. Das ist sehr toll. Und mir gefällt das Joggeli zum Fussball spielen und zum FCB schauen.;[1, 6, 7, 12]
157;Stadt  Fasnacht  Stimmung;[12, 17, 7]
158;die Fasnacht BS, der FCB;[7]
159;Die Strassenbahnen und Buse fahren regelmässig  Man kann auch ohne Auto überall hin kommen;[3]
160;Der FC Basel gefällt mir am meisten. (Ich habe Jahreskarten und bin stolzer Basler);[-99]
161;Eigentlich alles, ich habe genug Freiraum, und finde auch die Stadt schön.;[1, 12]
162;Das die Stadt so cool ist und man viel Einkaufsmöglichkeiten gibt.;[4, 12]
163;der Rhein;[1]
164;Meine Gegend, meine Freunde, meine Schule, der Rhein, meine Familie;[1, 11]
165;Meine Familie meine Freunde meine Umgebung meine Schule und der Rhein.;[1, 6, 11, 12]
166;Man ist nahe an der Stadt zum Einkaufen oder z.B. Musikschule, Turnhallen für Sport hobby und trotz dem nahe am Wald (Bruderholz und BL);[11, 12]
167;"Vor allem das Bruderholz weil es so ""grün"" ist. Die Basler Fasnacht und mega gern FCB";[5, 7, 16]
168;Ich mag die Stadt, wegen den Läden.  Das es möglichkeiten gibt irgendwo auf einen Park gehen kan.  Das es Fahr möglichkeiten gibt wie z.B Tram Bus.;[3, 4, 5, 8, 11]
169;Das es sehr grün ist. Das die Leute meistens (freundlich) zu einander sind. Das es fiel Sachen für Kinder gibt wie z.B. Spielplätze, Zolli..;[5, 6, 7]
170;Ich mag die Stadt sehr gerne da ich hier geboren bin.  Das es viele Möglichkeiten hat in ein z.B. Park, Feld zu gehen.  Das ich mich ohne Eltern und Probleme zurecht finden kann.;[12, 5, 7]
171;Eigentlich fast alles hier gibt es genug Geschäfte, die Menschen hier sind nett oder meistens, ich habe den Tram/Bus sehr gern und bei fast jeder Strasse sind Menschen.;[3, 6, 7, 11, 15]
172;Multi-kulti Personen;[16]
174;Das es vielfältig ist;[16]
